company_id,type,rule_id,text,confidence_pct
TATASTEEL,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,74
TCS,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
TCS,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71
TCS,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,84
TECHM,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
TECHM,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71
TECHM,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,84
TITAN,con,C01,Debt-to-equity ratio of 2.22 is elevated for a non-financial company and warrants monitoring,79
TITAN,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
TITAN,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71
TITAN,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,74
TITAN,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,72
TORNTPHARM,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
TORNTPHARM,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71
TORNTPHARM,pro,P02,Strong free cash flow generation over 5 years signals healthy business fundamentals,84
TRENT,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
TRENT,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71
TRENT,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,74
TRENT,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,72
TVSMOTOR,con,C02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,83
TVSMOTOR,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
TVSMOTOR,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,71
TVSMOTOR,pro,P08,Consistent dividend yield above 2% backed by positive free cash flow,72
